catalog,glong,glat,size,comments,assoc_flag,assoc,Name,Alias,Simbad_comments,VGPS Exclude,MAGPIS Exclude,Parallax,magpis,nvss_match,Cornish,Yusef 20cm GC,Lang Radio,Lang Paschen,THOR
observe,2.88395,-0.203701,42.5,,0,,FA275,,,0,0,,0,0,0,0,0,0,0
known,2.88951,-0.0439491,283.624,,0,,G002.901-00.006; G002.911-00.003; G002.901-00.003,,,0,0,,0,0,0,0,0,0,0
observe,2.89335,0.0238779,60.0001,! added,0,,FQ116,,,0,0,,0,1,0,0,0,0,0
no_radio,2.94,0.12,40.2718,,0,,,,,0,0,,0,0,0,0,0,0,0
known,2.961,-0.053,59.9911,,0,,FA083,,,0,0,,0,0,0,0,0,0,0
no_radio,3.07099,0.51466,76.0104,,0,,,,,0,0,,0,0,0,0,0,0,0
no_radio,3.25167,-0.275041,188.411,,0,,FA277; FQ601,,,0,0,,0,0,0,0,0,0,0
known,3.26676,-0.0607374,392.71,,0,,G003.270-00.101; G003.270-00.100,,,0,0,,0,0,0,0,0,0,0
no_radio,3.31835,-0.416497,36.1968,,0,,,,,0,0,,0,0,0,0,0,0,0
known,3.31867,-0.0298182,48.2818,,1,G003.270-00.101; G003.270-00.100,,,,0,0,,0,0,0,0,0,0,0
known,3.34952,-0.0770331,72.1168,,0,,G003.342-00.079,,,0,0,,0,0,0,0,0,0,0
no_radio,3.391,-0.0932068,16.802,,0,,,,,0,0,,0,0,0,0,0,0,0
no_radio,3.39198,0.883264,81.4571,,0,,FA278,,,0,1,,0,0,0,0,0,0,0
known,3.439,-0.349,42.5,,0,,FA085,,,0,0,,0,0,0,0,0,0,0
known,3.44252,-0.649314,120.6,,0,,FA086,,,0,0,,0,0,0,0,0,0,0
no_radio,3.46264,-0.0137991,16.7103,,0,,,,,0,0,,0,0,0,0,0,0,0
no_radio,3.49776,-0.325721,35.6849,,0,,,,,0,0,,0,0,0,0,0,0,0
no_radio,3.55557,-0.807529,22.2125,,0,,,,,0,1,,0,0,0,0,0,0,0
no_radio,3.55585,-0.798464,14.0798,,0,,,,,0,0,,0,0,0,0,0,0,0
observe,3.57031,0.0507958,42.5,,0,,FA280,,,0,0,,0,0,0,0,0,0,0
no_radio,3.57746,-0.236386,51.5275,,1,FQ600,,,,0,0,,0,0,0,0,0,0,0
observe,3.60754,-0.208619,152.076,,0,,FQ600,,,0,0,,0,0,0,0,0,0,0
no_radio,3.62771,0.0872779,64.0904,,0,,,,,0,0,,0,0,0,0,0,0,0
no_radio,3.64799,0.0895561,42.5,,0,,FA283,,,0,0,,0,0,0,0,0,0,0
known,3.65037,-0.121412,72.4987,,0,,G003.655-00.111; G003.662-00.113,,,0,0,,0,0,0,0,0,0,0
observe,3.66473,-0.0973653,31.9625,,0,,FQ117,,,0,0,,0,0,0,0,0,0,0
known,3.67676,-0.0996789,29.0218,,1,FQ117,FQ118,,,0,0,,0,0,0,0,0,0,0
no_radio,3.69096,-0.270709,49.6113,,0,,,,,0,0,,0,0,0,0,0,0,0
observe,3.71676,-0.224746,168.363,,0,,FA284; FQ602,,,0,0,,0,0,0,0,0,0,0
observe,3.72041,0.0146311,42.5,,0,,FA285,,,0,0,,0,0,0,0,0,0,0
no_radio,3.74,-0.08,41.155,,0,,,,,0,0,,0,0,0,0,0,0,0
observe,3.74148,0.0230622,42.5,,0,,FA286,,,0,0,,0,0,0,0,0,0,0
no_radio,3.75936,0.0814911,49.3169,,0,,,,,0,0,,0,0,0,0,0,0,0
observe,3.76561,0.0392069,42.5,,0,,FA288,,,0,0,,0,0,0,0,0,0,0
no_radio,3.79128,0.0914396,33.4907,,0,,,,,0,0,,0,0,0,0,0,0,0
no_radio,3.80235,-0.225038,172.224,,0,,,,,0,0,,0,0,0,0,0,0,0
no_radio,3.82625,-1.04727,161.465,,0,,FA290,,,0,1,,0,0,0,0,0,0,0
observe,3.83659,-0.179688,54.6324,,0,,FQ119,,,0,0,,0,0,0,0,0,0,0
no_radio,3.87711,-0.0330396,70.1348,,0,,,,,0,0,,0,0,0,0,0,0,0
no_radio,3.91154,-0.000374283,38.9806,,0,,,,,0,0,,0,0,0,0,0,0,0
known,3.928,-0.116,42.5,,0,,FA089,,,0,0,,0,0,0,0,0,0,0
no_radio,3.92866,0.0100372,50.564,,0,,,,,0,0,,0,0,0,0,0,0,0
no_radio,3.94076,-0.382283,52.2176,,0,,,,,0,0,,0,0,0,0,0,0,0
known,3.95964,-0.0937529,134.322,,0,,G003.949-00.100,,,0,0,,0,0,0,0,0,0,0
no_radio,3.96136,-0.211126,15.3307,,0,,,,,0,0,,0,0,0,0,0,0,0
no_radio,3.97503,-0.796197,119.124,,0,,FA291,,,0,0,,0,0,0,0,0,0,0
observe,3.99996,0.337511,59.7848,prob known,0,,G04.00,,,0,0,,0,0,0,0,0,0,0
no_radio,4.00932,-0.294983,67.7759,,0,,,,,0,0,,0,0,0,0,0,0,0
no_radio,4.01124,-0.152147,32.2326,,0,,,,,0,0,,0,0,0,0,0,0,0
no_radio,4.01713,-0.0314495,40.1451,,0,,,,,0,0,,0,0,0,0,0,0,0
no_radio,4.02189,-0.104718,29.4075,,0,,,,,0,0,,0,0,0,0,0,0,0
no_radio,4.03715,-0.106337,40.6925,,0,,,,,0,0,,0,0,0,0,0,0,0
no_radio,4.05635,-0.0144871,34.3524,,0,,,,,0,0,,0,0,0,0,0,0,0
no_radio,4.10863,0.0229925,72.0023,,0,,,,,0,0,,0,0,0,0,0,0,0
no_radio,4.12505,0.0600088,115.628,,0,,,,,0,0,,0,0,0,0,0,0,0
no_radio,4.13272,-1.0165,302.658,,0,,FA294,,,0,1,,0,0,0,0,0,0,0
no_radio,4.16452,-0.208728,40.8762,mwp,0,,,,,0,0,,0,0,0,0,0,0,0
no_radio,4.16724,-0.187486,18.3476,,0,,,,,0,0,,0,0,0,0,0,0,0
no_radio,4.17863,-0.241879,48.7744,,0,,,,,0,0,,0,0,0,0,0,0,0
observe,4.19569,-0.0513419,42.5,,0,,FA295,,,0,0,,0,0,0,0,0,0,0
observe,4.20254,-0.0265156,42.5,,0,,FA296,,,0,0,,0,0,0,0,0,0,0
no_radio,4.23288,0.625575,66.0413,,0,,,,,0,0,,0,0,0,0,0,0,0
no_radio,4.27008,0.0389536,129.306,,0,,,,,0,0,,0,0,0,0,0,0,0
observe,4.28356,0.0311792,42.5,,0,,FA298,,,0,0,,0,0,0,0,0,0,0
